No. Tên, Bắt đầu, Kết thúc
1, Hồng Bàng thị, 2879 BCE, 258 BCE
2, Thục triều, 257 BCE, 207 BCE
3, Triệu triều, 204 BCE, 111 BCE
4, Tây Hán, 111 BCE, 9 CE
5, Tân triều, 9 CE, 23 CE
6, Đông Hán, 25 CE, 220 CE
7, Đông Ngô, 229 CE, 280 CE
8, Tây Tấn, 266 CE, 316 CE
9, Đông Tấn, 317 CE, 420 CE
10, Lưu Tống, 420 CE, 479 CE
11, Nam Tề, 479 CE, 502 CE
12, Lương triều, 502 CE, 544 CE
13, Tiền Lý triều, 544 CE, 602 CE
14, Tùy triều, 602 CE, 618 CE
15, Đường triều, 621 CE, 907 CE
16, Võ Chu, 690 CE, 705 CE
17, Nam Hán, 930 CE, 938 CE
18, Ngô triều, 939 CE, 965 CE
19, Đinh triều, 968 CE, 980 CE
20, Tiền Lê triều, 980 CE, 1009 CE
21, Lý triều, 1009 CE, 1225 CE
22, Trần triều, 1225 CE, 1400 CE
23, Hồ triều, 1400 CE, 1407 CE
24, Minh triều, 1407 CE, 1427 CE
25, Hậu Trần triều, 1407 CE, 1413 CE
26, Lê sơ triều, 1428 CE, 1527 CE
27, Mạc triều, 1527 CE, 1677 CE
28, Lê trung hưng triều, 1533 CE, 1789 CE
29, Tây Sơn triều, 1778 CE, 1802 CE
30, Nguyễn triều, 1802 CE, 1945 CE
