No.Tên, Địa điểm, Loại di tích, Năm công nhận, Ghi chú
0. null, null, null, null, null
1. Động Tiên Sơn / Động Bình Lư, Bình Lư- Tam Đường, Lịch sử, 1996, N/A
2. Bia Lê Lợi, Lê Lợi- Nậm Nhùn, Lịch sử, 09/02/1981, 10/QĐ-VHTT 
3. Đền thờ vua Lê Lợi, Lê Lợi- Nậm Nhùn, Lịch sử, 23/01/2017, 218/QĐ-BVHTTDL
4. Hang động Pu Sam Cap, Pu Sam Cáp- Sìn Hồ, Danh thắng, 2011, N/A
5. Di chỉ Nậm Tun, Mường So- Phong Thổ, Khảo cổ lịch sử, 2013, N/A
6. Thác Cầu Mây và Đèo Ô Quý Hồ, Tam Đường & Sa Pa, Lịch sử danh thắng, 2015, 2248/QĐDL
7. Chiến trường Điện Biên Phủ, Điện Biên Phủ, Lịch sử đặc biệt, 2009, số 1272/QĐ-TTg
8. Thành Sam Mứn (Tam Vạn), Sam Mứn- Điện Biên, Lịch sử, 22/01/2009, 310/QĐ-BVHTTDL
9. Thành Bản Phủ (Điện Biên), Noong Hẹt- Điện Biên, Lịch sử, 09/02/1981, 10-VHTT/QĐ 
10. Hang Mường Tỉnh, Xa Dung- Điện Biên Đông, Lịch sử, 14/04/2011, 1256/QĐ-BVHTTDL 
11. Nhà tù Lai Châu, Mường Lay, Lịch sử, 2011,  Phế tích
12. Tháp Chiềng Sơ, Chiềng Sơ- Điện Biên Đông, Văn hóa nghệ thuật, 14/04/2011, số 1255/QĐ 
13. Tháp Mường Luân, Mường Luân- Điện Biên Đông, Văn hóa nghệ thuật, 9/02/1981, N/A
14. Động Pa Thơm, Pa Thơm- Điện Biên, Danh thắng, 22/01/2009, N/A
15. Động Xá Nhè (Khó Chua La), Xá Nhè- Tủa Chùa, Danh thắng, 2015, N/A
16. Hang động Pê Răng Ky, Huổi Só- Tủa Chùa, Danh thắng, 2018, N/A
17. Đền Cấm, Phố Mới- Tp. Lào Cai, Lịch sử, 2001, N/A
18. Đền Mẫu Lào Cai, P.Lào Cai- Tp. Lào Cai, Lịch sử, 2011, N/A
19. Đền Thượng Lào Cai, P.Lào Cai- Tp. Lào Cai, Lịch sử, 1996, N/A
20. Đền Trung Đô, Bảo Nhai- Bắc Hà, Lịch sử, 2008, thờ Gia quốc công Vũ Văn Mật
21. Dinh Hoàng A Tưởng, Thị trấn Bắc Hà, Lịch sử, 1999, Lâu đài Hoàng Yến Chao
22. Đồn Phố Ràng, Phố Ràng- Bảo Yên, Lịch sử, 1999, N/A
23. Động Mường Vi, Mường Vi- Bát Xát, Lịch sử, 1999, N/A
24. Động Hàm Rồng, Tung Chung Phố- Mường Khương, Danh thắng, 2003, N/A
25. Bãi đá cổ Sa Pa, Mường Hoa và Tả Van- Sa Pa, Lịch sử, 1994, N/A
26. Ruộng bậc thang Sa Pa, Sa Pa, Danh thắng, 2018, N/A
27. Động Tả Phìn, Tả Phìn- Sa Pa, Danh thắng, 2017, 5388/QĐ-BVHTTDL 
28. Núi Hàm Rồng (Sa Pa), Sa Pa, Lịch sử, 2005, N/A
29. Thành cổ Nghị Lang, Phố Ràng- Bảo Yên, Lịch sử, 2011,  Phế tích
30. Đền Bắc Hà, Thị trấn Bắc Hà, Lịch sử, 2003, N/A
31. Khu căn cứ cách mạng Cam Đường, Cam Đường- Lào Cai, Lịch sử, 1995, N/A
32. Động Thiên Long Bắc Hà, Tả Van Chư- Bắc Hà, Danh thắng, 18/10/2013, số 3579/QĐ
33. Đền Cô Tân An, Tân An- Văn Bàn, Lịch sử văn hóa, 2016, 3743/QĐ 
34. Căng và đồn Nghĩa Lộ, Nghĩa Lộ, Lịch sử, 1996, N/A
35. Chiến khu Vần, Trấn Yên & Văn Chấn, Lịch sử, 1995, N/A
36. Đền Đông Cuông, Đông Cuông- Văn Yên, Lịch sử, 2009, N/A
37. Đền Nhược Sơn, Châu Quế Hạ- Văn Yên, Lịch sử, 2005, N/A
38. Hồ Thác Bà, Lục Yên, Danh thắng, 1996, N/A
39. Khu di tích mộ Nguyễn Thái Học và các chiến sĩ khởi nghĩa Yên Bái, Tp. Yên Bái, Lịch sử, 5/3/1990, 177-VH/QĐ
40. Ruộng bậc thang Mù Cang Chải, Mù Cang Chải, Danh thắng, 2007, đặc biệt 2020
41. Đèo Lũng Lô, Văn Chấn & Phù Yên, Lịch sử, 2012, N/A
42. Địa điểm Khu Ủy Tây Bắc, Phù Nham- Văn Chấn, Lịch sử, 2012, N/A
43. Bến Âu Lâu, Tp. Yên Bái, Lịch sử, 2012, N/A
44. Nơi thành lập đội du kích Khau Phạ, Mù Cang Chải, Lịch sử, 2012, 3270/QĐ
45. Chùa tháp Hắc Y, Tân Lĩnh- Lục Yên, Lịch sử kiến trúc, 2001, N/A
46. Lễ đài Sân vận động Yên Bái, Tp. Yên Bái, Lịch sử, 1989, Nơi tưởng niệm Chủ tịch Hồ Chí Minh
47. Đồn cổ Đại Lịch, Đại Lịch- Văn Chấn, Lịch sử, 2012, N/A
48. Nhà tù Sơn La, Tp. Sơn La, Lịch sử đặc biệt, 1962 31/12/2014, đặc biệt 2408/QĐ-TTg
49. Tập đoàn cứ điểm Nà Sản, Chiềng Mung- Mai Sơn, Lịch sử, 24/01/1998, 95/QĐ
50. Đồn Mộc Lỵ, Mường Sang- Mộc Châu, Lịch sử, 24/01/1998, 95/QĐ
51. Khu di tích lịch sử Cách mạng Việt Nam - Lào, Phiêng Khoài- Yên Châu, Lịch sử văn hóa, 03/4/2012, 1240/QĐ
52. Thẳm Tát Tòng (Hang Tát Toòng), Tp. Sơn La, Danh thắng, 05/02/1994, N/A
53. Động Sơn Mộc Hương (Hang Dơi), Thị trấn Mộc Châu, Danh thắng, 24/01/1998, 95/QĐ
54. Hồ Chiềng Khoi, Chiềng Khoi- Yên Châu, Danh thắng, 28/12/2001, 53/2001/QĐ
55. Kỳ đài Thuận Châu, Thị trấn Thuận Châu, Lịch sử, 20/4/1995, 1568/QĐ-BT
56. Ngã ba Cò Nòi, Cò Nòi- Mai Sơn, Lịch sử, 29/4/2004, 16/2004/QĐ
57. Bia Quế Lâm Ngự Chế, năm 1440, Chiềng Lề- Tp. Sơn La, Lịch sử, 05/02/1994, 226/QĐ-BT 
58. Tháp Mường Và, Mường Và- Sốp Cộp, Văn hóa nghệ thuật, 24/01/1998, 95/1998/QĐ 
59. Tháp Mường Bám, Mường Bám- Thuận Châu, Lịch sử văn hóa, 24/10/2012, 4064/QĐ
60. Hang mộ Tạng Mè, Suối Bàng- Mộc Châu, Lịch sử khảo cổ, 05/3/2014, 523/QĐ
61. Bãi đá khắc cổ Khe Hổ, Hang Chú- Bắc Yên, Lịch sử khảo cổ, 12/12/2014, 4107/QĐ
62. Khu tưởng Chủ tịch Hồ Chí Minh tại Nhà máy in tiền - Đồn điền Chi Nê, Chi Nê- Lạc Thủy, Lịch sử, 2007, N/A
63. Quần thể Chùa Tiên, Phú Lão- Lạc Thủy, Khảo cổ, 1989, N/A
64. Hang Luồn Chi Nê / hang Trinh Nữ, Chi Nê- Lạc Thủy, Lịch sử, 2001, N/A
65. Hang Đồng Thớt, Ba Hàng Đồi- Lạc Thủy, Khảo cổ, 2003, N/A
66. Động Núi Niệm, Phú Thành- Lạc Thủy, Lịch sử khảo cổ danh thắng, 2013, N/A
67. Khu Mộ cổ Đống Thếch, Vĩnh Đồng- Kim Bôi, Lịch sử, 1997, N/A
68. Căn cứ cách mạng Cao Phong - Thạch Yên, Yên Lập- Cao Phong, Lịch sử, 1996, N/A
69. Tượng đài Anh hùng Cù Chính Lan, Bình Thanh- Cao Phong, Lịch sử, 1994, N/A
70. Tp. Hòa Bình, Lịch sử, N/A, N/A, 
71. Động Tiên Phi, Tân Hòa- Tp. Hòa Bình, Danh thắng, 2000, N/A
72. Động Thác Bờ (Đền Chúa Thác Bờ), Vầy Nưa- Đà Bắc, Danh thắng, 2009, N/A
73. Động Hoa Tiên, Ngòi Hoa-Tân Lạc, Danh thắng, 2003, N/A
74. Động Thiên Long Yên Thủy, Lạc Lương- Yên Thủy, Danh thắng, 2003, N/A
75. Hang Chùa, Yên Thủy, Yên Trị- Yên Thủy, Danh thắng, N/A, N/A
76. Hang Chổ, Cao Sơn- Lương Sơn, Danh thắng, N/A, N/A
77. Căng Bắc Mê, Yên Cường- Bắc Mê, Lịch sử, 1992, N/A
78. Chùa Nậm Dầu, Ngọc Linh- Vị Xuyên, Khảo cổ, 2009, N/A
79. Cột cờ Lũng Cú, Lũng Cú- Đồng Văn, Lịch sử, 2009, N/A
80. Tiểu khu Trọng Con, Bằng Hành- Bắc Quang, Lịch sử, 1996, N/A
81. Phố cổ Đồng Văn, Tt. Đồng Văn, Văn hóa nghệ thuật, 2009, N/A
82. Hang Nà Luông, Yên Minh & Đồng Văn, Danh thắng, 23/9/2014, 3087/QĐ-BVHTTDL
83. Ruộng bậc thang Hoàng Su Phì, Hoàng Su Phì, Danh thắng, 2011, N/A
84. Núi Đôi Quản Bạ, Tt. Quản Bạ, Danh thắng, 2010, N/A
85. Kỳ đài Quảng trường 26/3, Tp. Hà Giang, Lịch sử, 1993, N/A
86. Dinh thự họ Vương (Dinh vua Mèo), Sà Phìn- Đồng Văn, Văn hóa nghệ thuật, 1993, N/A
87. Bãi đá cổ Nấm Dẩn, Nấm Dẩn- Xín Mần, Khảo cổ, 2008, N/A
88. Đèo Mã Pí Lèng, Mèo Vạc & Đồng Văn, Danh thắng, 16/11/2009, 4194/QĐ-BVHTTDL
89. Hang Rồng, Tà Lủng & Pả Vi, Mèo Vạc, Danh thắng, 23/9/2014, 3088/QĐ-BVHTTDL
90. Thác Tiên Đèo Gió, Nấm Dẩn- Xín Mần, Danh thắng, 2009, N/A
91. Bia Sùng Khánh và Chuông Bình Lâm, Phú Linh- Vị Xuyên, Lịch sử, 1993, N/A
92. Hang Đán Cúm - Nà Chảo, Yên Cường- Bắc Mê, Khảo cổ, 2001, N/A
93. Hang Khố Mỷ, Tùng Vài- Quản Bạ, Danh thắng, 2013, N/A
94. Hang Thiên Thủy, Nàn Ma- Xín Mần, Danh thắng, 2013, N/A
95. Hang Khâu Đôn, Đức Xuân- Bắc Quang, Danh thắng, 07/01/2020, 45/QĐ-BVHTTDL 
96. Hang Nậm Tan, Đức Xuân- Bắc Quang, Danh thắng, 07/01/2020, 45/QĐ-BVHTTDL 
97. Thác Nậm Tạu, Đức Xuân- Bắc Quang, Danh thắng, 2018, N/A
98. Khu vực Hóa thạch Huệ Biển, Lũng Pù- Mèo Vạc, Khảo cổ danh thắng, 23/9/2014, 3087/QĐ-BVHTTDL
99. Khu vực Hóa thạch Tay Cuộn, Ma Lé- Đồng Văn, Khảo cổ danh thắng, 12/11/2013, N/A
100. Thác Luồng, Nà Chì- Xín Mần, Danh thắng, 2021, N/A
101. Thác Trăn, Khuôn Lùng- Xín Mần, Danh thắng, 2021, N/A
102. Địa điểm Chiến thắng Biên giới năm 1950, Thạch An, Lịch sử cách mạng đặc biệt, 2017, 2082/QĐ-TTg
103. Hồ Thang Hen, Quốc Toản-Trà Lĩnh, Danh thắng, 2001, N/A
104. Khu lưu niệm Kim Đồng và nơi thành lập đội Nhi đồng Cứu Quốc, Trường Hà- Hà Quảng, Lịch sử, 2011, N/A
105. Chuông chùa Đà Quận, Tp. Cao Bằng, Văn hóa nghệ thuật, 1995, N/A
106. Đền vua Lê, Hoàng Tung- Hòa An, Lịch sử, 1995, N/A
107. Đề Thám, Tp. Cao Bằng, Lịch sử, N/A, N/A, 1988
108. Địa điểm Nà Ngần, Hoa Thám- Nguyên Bình, Lịch sử, 1994, N/A
109. Nậm Lìn, Hoàng Tung- Hòa An, Lịch sử, 1995, N/A
110. Hang Ngườm Bốc, Hồng Việt- Hòa An, Lịch sử, 2004, 02/2004/QĐ-BVHTT
111. Động Ngao (Ngườm Ngao), Đàm Thủy- Trùng Khánh, Danh thắng, 1998, N/A
112. Hang Kéo Quảng, Minh Tâm- Nguyên Bình, Lịch sử, 1995, N/A
113. Nơi Chủ tịch Hồ Chí Minh ở và làm việc đầu năm 1942, Hòa An, Lịch sử, 1995, N/A
114. Nơi thành lập Đội Việt Nam Tuyên truyền Giải phóng quân ngày 22/12/1944, Rừng Trần Hưng Đạo Tam Kim- Nguyên Bình, Lịch sử đặc biệt, 2013, 2383/QĐ-TTg
115. Thác Bản Giốc, Đàm Thủy- Trùng Khánh, Danh thắng, 1998, N/A
116. Thành Na Lữ, Hoàng Tung- Hòa An, Lịch sử, 2009, N/A
117. Khu di tích Pác Bó, Trường Hà- Hà Quảng, Lịch sử đặc biệt, 2012, 548/QĐ-TTg 
118. Di tích lịch sử Chi Lăng, Chi Lăng, Lịch sử đặc biệt, 1962, đặc biệt 2020
119. Hang Gió Chi Lăng, Chi Lăng, Khảo cổ, 23/08/2004, 77/2004/QĐ-BVHTT 
120. Hang Lạng Nắc, Chi Lăng, Khảo cổ, 23/08/2004, 77/2004/QĐ-BVHTT
121. Hang Phia Điểm, Cao Lộc, Khảo cổ, 23/08/2004, 77/2004/QĐ-BVHTT
122. Hang Dơi Bắc Sơn, Vũ Lễ- Bắc Sơn, Khảo cổ, 23/08/2004, 77/2004/QĐ-BVHTT
123. Hang Thẩm Khuyên, Bình Gia, Khảo cổ, 1993, N/A
123. Hang Thẩm Khuyên, Bình Gia, Khảo cổ, 1993, N/A
124. Động Nhị Thanh - Chùa Tam Thanh, Lạng Sơn, Lịch sử, 1962, số 313-VH/VP
125. Di tích Khởi nghĩa Bắc Sơn, Bắc Sơn, Lịch sử đặc biệt, 2016, 13 di tích quốc gia, 2499/QĐ-TTg
126. Địa điểm ghi dấu tội ác của thực dân Pháp tại Lân Áng (09/02/1945), Hưng Vũ- Bắc Sơn, Lịch sử, 2020, N/A
127. Địa điểm ghi dấu tội ác của thực dân Pháp tại Minh Đán (01/10/1940), Hưng Vũ- Bắc Sơn, Lịch sử, 2020, N/A
128. Linh địa cổ Mẫu Sơn, Lộc Bình, Khảo cổ, 2013, N/A
129. Núi Tô Thị, Lạng Sơn, Danh thắng, 1962, N/A
130. Khu di tích núi Phai Vệ, Lạng Sơn, Khảo cổ, 23/08/2004, 77/2004/QĐ-BVHTT
131. Đền Kỳ Cùng, Lạng Sơn, Lịch sử, 1993, N/A
132. Lạng Sơn, Văn hóa nghệ thuật, N/A, N/A, 
133. Thành cổ Lạng Sơn, Lạng Sơn, Văn hóa nghệ thuật, 1999, N/A
134. Chùa Thành, Lạng Sơn, Lịch sử, 1993, N/A
135. Hang Cốc Mười, Tràng Định, Lịch sử, 23/08/2004, 77/2004/QĐ-BVHTT
136. Di tích kiến trúc nghệ thuật đền Cửa Đông, Cửa Tây, Cửa Nam, Cửa Bắc, P.Chi Lăng- Tp. Lạng Sơn, Lịch sử văn hóa, 12/11/2013, N/A
137. Đền Cửa Ông, Cẩm Phả, Lịch sử, 1989, đặc biệt 2017 tại 2082/QĐ-TTg
138. Cụm di tích Xí nghiệp Tuyển than Cửa Ông, Cẩm Phả, Lịch sử, 1997, N/A
139. Ngã tư đường lên mỏ Đèo Nai, Cẩm Phả, Lịch sử, 1997, Cẩm Tây
140. Khu di tích lưu niệm Chủ tịch Hồ Chí Minh trên đảo Cô Tô, Cô Tô, Lịch sử, 1997, N/A
